Taxón,PNS NIEVES,PNS NEVADA,PN DOÑANA,Recolectada en sierra nevada,rbcl,trnH,MatK,ITS
Abies pinsapo,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Acer granatense,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Acer monspessulanum,1,1,0,S,1,1,1,1
Acer opalus granatense,0,1,0,S,1,1,1,1
Achillea ageratum,1,1,1,N,#N/A,#N/A,#N/A,#N/A
Achillea millefolium,0,1,0,S,1,1,1,1
Achillea odorata,0,1,0,S,1,1,1,1
Acinos alpinus,0,1,0,S,1,1,1,Hongo 
Acinos alpinus meridionalis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Acinos rotundifolius,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Adenocarpus complicatus,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Adenocarpus decorticans,0,1,0,S,1,1,1,1
Adenocarpus gibbsianus,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Adenocarpus telonensis,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Aethionema marginatum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Ailanthus altissima,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Ajuga iva,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Alnus glutinosa,1,1,0,S,1,1,1,1
Alyssum atlanticum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Alyssum montanum,1,1,0,N,#N/A,#N/A,#N/A,#N/A
Alyssum nevadense,0,1,0,S,#N/A,#N/A,#N/A,#N/A
Alyssum serpyllifolium,1,1,0,S,1,0,0,0
Amelanchier ovalis,0,1,0,S,1,1,1,1
Anagallis monelli,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Anagyris foetida,1,1,1,N,#N/A,#N/A,#N/A,#N/A
Androsace vandellii,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Androsace vitaliana nevadensis,0,1,0,S,1,1,1,1
Andryala agardhii,0,1,0,S,1,1,1,1
Andryala ragusina,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Antennaria dioica,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Anthyllis cytisoides,1,1,1,S,1,1,1,1
Anthyllis gerardii,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Anthyllis podocephala,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Anthyllis tejedensis tejedensis,0,1,0,S,1,1,1,1
Anthyllis terniflora,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Anthyllis vulneraria arundana,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Anthyllis vulneraria gandogeri,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Anthyllis vulneraria maura,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Anthyllis vulneraria reuteri,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Antirrhinum hispanicum,0,1,0,S,1,1,1,1
Antirrhinum litigiosum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Antirrhinum mollissimum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Arbutus unedo,1,1,1,S,1,1,1,1
Arceuthobium oxycedri,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Arctostaphylos uvaursi,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Arenaria armerina,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Arenaria armerina armerina,0,1,0,S,1,1,1,1
Arenaria armerina caesia,0,1,0,S,1,1,1,1
Arenaria erinacea,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Arenaria grandiflora grandiflora,0,1,0,S,1,0,1,1
Arenaria pungens pungens,0,1,0,S,1,1,1,1
Arenaria tetraquetra amabilis,0,1,0,S,1,1,1,1
Arenaria tetraquetra murcica,0,1,0,S,1,1,1,1
Argantoniella salzmannii,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Argyrolobium zanoii,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Argyrolobium zanonii zanonii,0,1,0,S,1,1,1,1
Aristolochia baetica,1,1,1,S,1,1,1,0
Armeria filicaulis nevadensis,0,1,0,S,1,1,1,1
Armeria filicaulis trevenqueana,0,1,0,S,1,1,1,1
Armeria gaditana,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Armeria hirta,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Armeria hispalensis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Armeria linkiana,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Armeria macrophylla,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Armeria pungens,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Armeria velutina,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Armeria villosa bernisii,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Armeria villosa carratracensis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Armeria villosa longiaristata,1,1,0,N,#N/A,#N/A,#N/A,#N/A
Armeria villosa villosa,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Artemisia absinthium,0,1,0,S,1,1,1,1
Artemisia alba nevadensis,0,1,0,S,1,1,1,1
Artemisia barrelieri,0,1,0,S,1,0,1,1
Artemisia caerulescens caerulescens,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Artemisia campestris glutinosa,1,1,0,S,1,1,1,1
Artemisia campestris maritima,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Artemisia chamaemelifolia,0,1,0,S,1,1,1,1
Artemisia granatensis,0,1,0,S,1,1,1,1
Artemisia herbaalba,0,1,0,S,1,1,1,1
Artemisia umbelliformis,0,1,0,S,1,1,1,1
Arthrocnemum macrostachyum,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Asparagus acutifolius,1,1,1,S,1,1,1,1
Asparagus albus,1,1,1,S,1,1,1,1
Asparagus aphyllus,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Asparagus horridus,1,1,0,S,1,1,1,1
Asperula aristata scabra,1,1,0,S,#N/A,#N/A,#N/A,#N/A
Asperula hirsuta,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Asphodelus macrocarpus rubescens,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Asphodelus ramosus distalis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Astragalus alopecuroides,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Astragalus clusianus,0,1,0,S,1,1,1,1
Astragalus granatensis,0,1,0,S,1,1,1,1
Astragalus nevadensis nevadensis,0,1,0,S,1,1,1,1
Astragalus sempervirens nevadensis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Astragalus vesicarius,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Atriplex glauca,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Atriplex halimus,0,1,1,S,1,1,1,1
Ballota hirsuta,1,1,1,S,1,1,1,0
Ballota nigra,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Berberis hispanica,0,1,0,S,1,1,1,1
Berberis vulgaris australis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Betula pendula fontqueri,0,1,0,S,1,1,0,0
Biscutella frutescens,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Biscutella glacialis,0,1,0,S,1,1,1,1
Biscutella variegata,0,1,0,S,1,1,1,1
Brachypodium phoenicoides,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Brachypodium retusum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Brachypodium retusum boissieri,0,1,0,S,1,0,1,0
Brachypodium retusum retusum,0,1,1,S,1,0,1,0
Brachypodium sylvaticum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Brassica repanda,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Brassica repanda bllancoana,0,1,0,S,#N/A,#N/A,#N/A,#N/A
Bupleurum acutifolium,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Bupleurum fruticescens,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Bupleurum fruticosum,1,1,0,S,1,1,1,1
Bupleurum gibraltaricum,0,1,0,S,1,1,1,1
Bupleurum gibraltarium,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Bupleurum rigidum paniculatum,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Bupleurum rigidum rigidum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Bupleurum spinosum,1,1,0,S,1,1,1,1
Calamintha nepeta glandulosa,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Calamintha nepeta nepeta,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Calamintha sylvatica adscendens,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Calendula suffruticosa,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Calendula suffruticosa lusitanica,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Calendula suffruticosa suffruticosa,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Calendula suffruticosa tomentosa,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Calicotome villosa,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Calluna vulgaris,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Campanula rapunculus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Campanula velutina,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Capparis spinosa spinosa,0,1,1,S,1,1,1,0
Carduncellus caeruleus,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Carduncellus caeruleus caeruleus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Carduncellus monspelliensium,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Carthamus arborescens,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Carum verticillatum,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Castanea sativa,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Catananche caerulea,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Cedrus atlantica,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Celtis australis,1,1,1,S,1,1,1,0
Centaurea alba macrocephala,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Centaurea aspera aspera,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Centaurea aspera scorpiurifolia,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Centaurea bombycina xeranthemoides,0,1,0,S,#N/A,#N/A,#N/A,#N/A
Centaurea castellanoides,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Centaurea clementei,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Centaurea cordubensis cordubensis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Centaurea exarata,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Centaurea ornata,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Centaurea prolongoi,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Centaurea sphaerocephala,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Centranthus nevadensis,1,1,0,S,1,1,1,1
Cephalaria linearifolia,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Cerastium gibraltaricum,1,1,0,S,1,0,1,0
Ceratonia siliqua,1,1,1,S,1,1,1,1
Chamaerops humilis,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Chamaespartium undulatum,0,1,0,S,1,1,1,1
Cistus albidus,1,1,1,S,1,1,1,1
Cistus clusii clusii,0,1,0,S,1,0,1,0
Cistus crispus,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Cistus ladanifer,0,1,1,S,1,1,1,1
Cistus ladanifer africanus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Cistus ladanifer ladanifer,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Cistus laurifolius,1,1,0,S,1,1,1,1
Cistus libanotis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Cistus monspeliensis,1,1,1,S,1,0,1,0
Cistus populifolius,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Cistus populifolius major,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Cistus populifolius populifolius,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Cistus psilosepalus,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Cistus salvifolius,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Cistus salviifolius,0,1,1,S,1,1,1,1
Clematis cirrhosa,1,1,1,N,#N/A,#N/A,#N/A,#N/A
Clematis flammula,1,1,1,S,1,1,1,1
Clematis vitalba,1,1,0,S,1,1,1,1
Colutea hispanica,0,1,0,S,1,1,1,1
Convolvulus boissieri,0,1,0,S,1,1,1,1
Convolvulus boissieri boissieri,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Convolvulus lanuginosus,1,1,0,S,1,1,1,1
Convolvulus lineatus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Corema album,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Coriaria myrtifolia,1,1,0,S,1,1,1,1
Coris monspeliensis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Coris monspeliensis monspeliensis,0,1,0,S,1,1,1,1
Cornus sanguinea sanguinea,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Coronilla glauca,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Coronilla juncea,1,1,1,S,1,1,1,1
Coronilla minima,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Coronilla valentina,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Corrigiola telephiifolia,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Cotoneaster granatensis,1,1,0,S,1,0,1,0
Crataegus granatensis,1,1,0,N,#N/A,#N/A,#N/A,#N/A
Crataegus monogyna,1,1,1,S,1,1,1,1
Crithmum maritimum,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Crucianella maritima,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Cydonia oblonga,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Cytisus arboreus catalaunicus,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Cytisus baeticus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Cytisus fontanesii fontanesii,0,1,1,S,1,1,1,1
Cytisus fontanesii plumosus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Cytisus galianoi,0,1,0,S,1,1,1,1
Cytisus grandiflorus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Cytisus grandiflorus cabezudoi,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Cytisus grandiflorus grandiflorus,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Cytisus malacitanus,1,1,0,N,#N/A,#N/A,#N/A,#N/A
Cytisus scoparius reverchonii,0,1,0,S,1,1,1,1
Cytisus scoparius scoparius,0,1,1,S,1,1,1,1
Cytisus villosus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Daphne gnidium,1,1,1,S,1,1,0,0
Daphne laureola,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Daphne laureola latifolia,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Daphne oleoides,0,1,0,S,1,1,1,1
Delphinium pentagynum,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Dianthus anticarius,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Dianthus boissieri,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Dianthus brachyanthus,0,1,0,S,1,1,0,0
Dianthus broteri,1,1,1,S,1,1,1,1
Dianthus hispanicus,0,1,0,S,0,0,0,0
Dianthus lusitanus,1,1,0,S,1,1,1,1
Dianthus pungens,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Dictamnus albus,0,1,0,S,1,1,1,1
Digitalis obscura laciniata,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Digitalis obscura obscura,1,1,0,S,1,1,1,1
Diplotaxis harra lagascana,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Dittrichia graveolens,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Dittrichia viscosa,1,1,1,S,1,1,1,1
Dorycnium pentaphyllum,1,1,1,S,1,1,1,1
Dorycnium rectum,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Dorycnopsis gerardi,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Draba hispanica hispanica,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Draba hispanica laderoi,0,1,0,S,1,1,1,1
Ecballium elaterium,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Echinospartum boissieri,1,1,0,S,1,1,1,1
Echium albicans albicans,0,1,0,S,1,0,0,0
Ephedra distachya,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Ephedra fragilis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Ephedra fragilis fragilis,0,1,0,S,1,1,0,0
Ephedra nebrodensis,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Epilobium tetragonum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Epilobium tetragonum tetragonum,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Epilobium tetragonum tournefortii,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Erica andevalensis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Erica arborea,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Erica australis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Erica ciliaris,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Erica erigena,1,1,0,S,0,0,0,0
Erica scoparia,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Erica scoparia scoparia,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Erica terminalis,1,1,0,S,1,1,1,1
Erica umbellata,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Erigeron karvinskianus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Erinacea anthyllis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Erinacea anthyllis anthyllis,0,1,0,S,1,1,1,1
Erodium boissieri,0,1,0,S,1,1,1,1
Erodium cheilanthifolium,1,1,0,S,1,1,1,1
